<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.CL,D,20180824,000000,68.1400000,69.4900000,65.5200000,68.5600000,942
SPFB.CL,D,20180827,000000,68.5100000,69.0000000,68.3200000,69.0000000,226
SPFB.CL,D,20180828,000000,68.9000000,69.2100000,68.3400000,68.4300000,660
SPFB.CL,D,20180829,000000,68.4400000,69.7400000,68.3900000,69.7400000,605
SPFB.CL,D,20180830,000000,69.8000000,70.4200000,69.5900000,70.1500000,472
SPFB.CL,D,20180831,000000,70.2100000,70.3700000,69.6800000,69.8700000,136
SPFB.CL,D,20180903,000000,69.6900000,70.1500000,69.6900000,70.1200000,440
SPFB.CL,D,20180904,000000,70.0800000,71.3700000,69.1500000,69.3900000,2437
SPFB.CL,D,20180905,000000,69.1500000,69.5100000,68.6400000,68.9100000,710
SPFB.CL,D,20180906,000000,68.6200000,68.9400000,67.0900000,67.9600000,887
SPFB.CL,D,20180907,000000,67.9300000,67.9900000,66.9700000,67.9500000,172
SPFB.CL,D,20180910,000000,68.0000000,68.3100000,67.4000000,67.4600000,279
SPFB.CL,D,20180911,000000,67.5000000,69.6400000,67.4700000,69.5800000,528
SPFB.CL,D,20180912,000000,69.5800000,70.8100000,69.2500000,70.0500000,408
SPFB.CL,D,20180913,000000,69.7500000,69.7500000,68.3200000,68.6500000,2494
SPFB.CL,D,20180914,000000,68.7100000,69.1300000,67.9500000,68.7000000,2412
SPFB.CL,D,20180917,000000,68.9000000,69.3700000,68.3600000,68.6700000,2149
SPFB.CL,D,20180918,000000,68.4500000,70.2100000,68.4100000,69.4600000,1941
SPFB.CL,D,20180919,000000,69.7700000,70.8300000,69.4500000,70.7700000,1422
SPFB.CL,D,20180920,000000,71.1100000,71.2900000,70.1000000,70.1200000,3152
SPFB.CL,D,20180921,000000,70.4500000,71.7500000,70.1000000,70.8700000,4401
SPFB.CL,D,20180924,000000,71.7700000,72.6800000,71.7700000,72.2100000,3076
SPFB.CL,D,20180925,000000,72.3100000,72.7100000,72.0200000,72.0500000,2422
SPFB.CL,D,20180926,000000,72.1500000,72.3300000,71.5700000,72.0200000,3218
SPFB.CL,D,20180927,000000,72.4600000,72.5000000,71.8400000,72.1700000,1712
SPFB.CL,D,20180928,000000,72.2200000,73.6000000,71.9500000,73.4500000,4542
SPFB.CL,D,20181001,000000,73.4500000,75.7200000,73.0000000,75.6800000,3577
SPFB.CL,D,20181002,000000,75.7100000,75.7300000,74.9600000,75.1000000,1873
SPFB.CL,D,20181003,000000,75.4000000,76.8900000,73.7000000,76.2000000,1916
SPFB.CL,D,20181004,000000,76.2500000,76.3300000,73.9100000,74.5300000,1839
SPFB.CL,D,20181005,000000,74.8200000,74.9800000,74.0000000,74.2700000,1143
SPFB.CL,D,20181008,000000,73.7900000,74.2700000,73.1600000,74.2100000,228
SPFB.CL,D,20181009,000000,74.7800000,75.2700000,74.0900000,74.7800000,153
SPFB.CL,D,20181010,000000,73.2500000,73.2700000,72.5100000,72.5100000,82
SPFB.CL,D,20181011,000000,72.4000000,72.4100000,70.8000000,70.8000000,746
SPFB.CL,D,20181012,000000,71.7200000,71.7200000,70.4700000,71.3600000,210
SPFB.CL,D,20181015,000000,71.6900000,71.6900000,70.9200000,71.4900000,13
SPFB.CL,D,20181016,000000,71.1300000,71.9800000,71.1300000,71.8300000,15
SPFB.CL,D,20181017,000000,71.9500000,71.9500000,69.4500000,70.0800000,389
SPFB.CL,D,20181018,000000,69.6800000,69.7200000,68.6200000,68.7800000,1125
SPFB.CL,D,20181019,000000,68.8900000,69.8200000,68.6300000,69.4800000,993
SPFB.CL,D,20181022,000000,69.7300000,69.8300000,68.5300000,69.5200000,1728
