<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.LKOH,D,20150626,000000,24005.0000000,24016.0000000,23724.0000000,23769.0000000,28070
SPFB.LKOH,D,20150629,000000,23706.0000000,24083.0000000,23513.0000000,23814.0000000,35512
SPFB.LKOH,D,20150630,000000,23850.0000000,24494.0000000,23785.0000000,24400.0000000,50489
SPFB.LKOH,D,20150701,000000,24460.0000000,24600.0000000,24071.0000000,24159.0000000,27846
SPFB.LKOH,D,20150702,000000,24130.0000000,24404.0000000,24024.0000000,24330.0000000,28928
SPFB.LKOH,D,20150703,000000,24307.0000000,24365.0000000,23926.0000000,24030.0000000,29675
SPFB.LKOH,D,20150706,000000,23965.0000000,24391.0000000,23734.0000000,24333.0000000,27824
SPFB.LKOH,D,20150707,000000,24350.0000000,24690.0000000,24156.0000000,24544.0000000,39810
SPFB.LKOH,D,20150708,000000,24533.0000000,24533.0000000,24017.0000000,24436.0000000,45291
SPFB.LKOH,D,20150709,000000,24436.0000000,24598.0000000,24281.0000000,24531.0000000,28505
SPFB.LKOH,D,20150710,000000,24540.0000000,24600.0000000,24292.0000000,24380.0000000,37251
SPFB.LKOH,D,20150713,000000,24399.0000000,24900.0000000,24234.0000000,24880.0000000,46573
SPFB.LKOH,D,20150714,000000,24852.0000000,24900.0000000,24388.0000000,24775.0000000,34882
SPFB.LKOH,D,20150715,000000,24725.0000000,25109.0000000,24604.0000000,25016.0000000,34596
SPFB.LKOH,D,20150716,000000,25020.0000000,25157.0000000,24855.0000000,25102.0000000,25154
SPFB.LKOH,D,20150717,000000,25101.0000000,25294.0000000,24975.0000000,25091.0000000,25690
SPFB.LKOH,D,20150720,000000,25134.0000000,25154.0000000,24555.0000000,24707.0000000,27367
SPFB.LKOH,D,20150721,000000,24670.0000000,24933.0000000,24462.0000000,24825.0000000,27493
SPFB.LKOH,D,20150722,000000,24771.0000000,25005.0000000,24671.0000000,24920.0000000,34896
SPFB.LKOH,D,20150723,000000,24934.0000000,25173.0000000,24795.0000000,25044.0000000,24669
SPFB.LKOH,D,20150724,000000,25054.0000000,25368.0000000,24725.0000000,25078.0000000,37547
SPFB.LKOH,D,20150727,000000,25100.0000000,25100.0000000,24256.0000000,24285.0000000,61151
SPFB.LKOH,D,20150728,000000,24348.0000000,24979.0000000,24348.0000000,24700.0000000,42918
SPFB.LKOH,D,20150729,000000,24741.0000000,24998.0000000,24454.0000000,24606.0000000,43988
SPFB.LKOH,D,20150730,000000,24638.0000000,24932.0000000,24513.0000000,24691.0000000,30289
SPFB.LKOH,D,20150731,000000,24680.0000000,25760.0000000,24655.0000000,25635.0000000,50714
SPFB.LKOH,D,20150803,000000,25600.0000000,25960.0000000,25257.0000000,25417.0000000,56733
SPFB.LKOH,D,20150804,000000,25417.0000000,25585.0000000,25123.0000000,25414.0000000,51990
SPFB.LKOH,D,20150805,000000,25440.0000000,25790.0000000,25220.0000000,25565.0000000,42142
SPFB.LKOH,D,20150806,000000,25565.0000000,25710.0000000,25059.0000000,25274.0000000,46018
SPFB.LKOH,D,20150807,000000,25273.0000000,25551.0000000,25176.0000000,25520.0000000,32844
SPFB.LKOH,D,20150810,000000,25462.0000000,25678.0000000,25175.0000000,25566.0000000,32458
SPFB.LKOH,D,20150811,000000,25595.0000000,25954.0000000,25252.0000000,25308.0000000,44416
SPFB.LKOH,D,20150812,000000,25320.0000000,25720.0000000,25183.0000000,25616.0000000,31323
SPFB.LKOH,D,20150813,000000,25640.0000000,25947.0000000,25451.0000000,25675.0000000,29185
SPFB.LKOH,D,20150814,000000,25660.0000000,26086.0000000,25589.0000000,25811.0000000,29779
SPFB.LKOH,D,20150817,000000,25849.0000000,25867.0000000,25491.0000000,25602.0000000,24075
SPFB.LKOH,D,20150818,000000,25602.0000000,25660.0000000,25104.0000000,25136.0000000,30689
SPFB.LKOH,D,20150819,000000,25117.0000000,25213.0000000,24751.0000000,24836.0000000,36058
SPFB.LKOH,D,20150820,000000,24870.0000000,25094.0000000,24661.0000000,24921.0000000,37895
SPFB.LKOH,D,20150821,000000,24850.0000000,24929.0000000,24248.0000000,24350.0000000,32339
SPFB.LKOH,D,20150824,000000,24300.0000000,24412.0000000,23054.0000000,23667.0000000,73131
SPFB.LKOH,D,20150825,000000,23520.0000000,24214.0000000,23520.0000000,23690.0000000,43476
SPFB.LKOH,D,20150826,000000,23698.0000000,23995.0000000,23488.0000000,23908.0000000,32700
SPFB.LKOH,D,20150827,000000,23908.0000000,24596.0000000,23775.0000000,24470.0000000,40809
SPFB.LKOH,D,20150828,000000,24470.0000000,25299.0000000,24215.0000000,25250.0000000,53708
SPFB.LKOH,D,20150831,000000,25197.0000000,25450.0000000,24959.0000000,25080.0000000,32251
SPFB.LKOH,D,20150901,000000,25135.0000000,25357.0000000,24283.0000000,24374.0000000,47424
SPFB.LKOH,D,20150902,000000,24400.0000000,24806.0000000,24326.0000000,24737.0000000,39805
SPFB.LKOH,D,20150903,000000,24670.0000000,25162.0000000,24590.0000000,25040.0000000,30218
SPFB.LKOH,D,20150904,000000,25018.0000000,25058.0000000,24500.0000000,24504.0000000,24265
SPFB.LKOH,D,20150907,000000,24527.0000000,24808.0000000,24483.0000000,24740.0000000,15421
SPFB.LKOH,D,20150908,000000,24700.0000000,25052.0000000,24540.0000000,24680.0000000,30626
SPFB.LKOH,D,20150909,000000,24727.0000000,25173.0000000,24727.0000000,24870.0000000,22050
SPFB.LKOH,D,20150910,000000,25510.0000000,25721.0000000,25352.0000000,25700.0000000,425
SPFB.LKOH,D,20150911,000000,25501.0000000,25596.0000000,25292.0000000,25596.0000000,1350
SPFB.LKOH,D,20150914,000000,25501.0000000,25993.0000000,25434.0000000,25915.0000000,3717
SPFB.LKOH,D,20150915,000000,25835.0000000,25859.0000000,25158.0000000,25500.0000000,23920
SPFB.LKOH,D,20150916,000000,25479.0000000,25526.0000000,25179.0000000,25325.0000000,25066
SPFB.LKOH,D,20150917,000000,25361.0000000,25378.0000000,24802.0000000,24952.0000000,19430
SPFB.LKOH,D,20150918,000000,24953.0000000,25039.0000000,24451.0000000,24600.0000000,27432
SPFB.LKOH,D,20150921,000000,24551.0000000,24620.0000000,23649.0000000,23919.0000000,26952
SPFB.LKOH,D,20150922,000000,23882.0000000,23919.0000000,22661.0000000,22925.0000000,67025
SPFB.LKOH,D,20150923,000000,22900.0000000,23017.0000000,22455.0000000,22610.0000000,61834
